CustomerID,Name,Gender,Age,AccountType,AccountBalance,TransactionDate,TransactionAmount,TransactionType
1,John Doe,Male,35,Savings,5000,2024-04-01,-100,Withdrawal
1,John Doe,Male,35,Savings,4900,2024-04-03,2000,Deposit
2,Jane Smith,Female,45,Checking,7000,2024-04-02,-500,Withdrawal
2,Jane Smith,Female,45,Checking,6500,2024-04-05,1000,Deposit
3,Bob Johnson,Male,28,Savings,3000,2024-04-01,-50,Withdrawal
3,Bob Johnson,Male,28,Savings,2950,2024-04-04,500,Deposit
4,Alice Brown,Female,50,Checking,10000,2024-04-03,-1000,Withdrawal
4,Alice Brown,Female,50,Checking,9000,2024-04-07,1500,Deposit
5,Emily Wilson,Female,40,Savings,8000,2024-04-01,-200,Withdrawal
5,Emily Wilson,Female,40,Savings,7800,2024-04-04,800,Deposit
6,Michael Lee,Male,33,Checking,6000,2024-04-02,-300,Withdrawal
6,Michael Lee,Male,33,Checking,5700,2024-04-05,400,Deposit
7,Sarah Taylor,Female,55,Savings,4000,2024-04-01,-150,Withdrawal
7,Sarah Taylor,Female,55,Savings,3850,2024-04-06,700,Deposit
8,David Martinez,Male,37,Checking,5500,2024-04-03,-700,Withdrawal
8,David Martinez,Male,37,Checking,4800,2024-04-07,1200,Deposit
9,Michelle Clark,Female,48,Savings,6000,2024-04-01,-250,Withdrawal
9,Michelle Clark,Female,48,Savings,5750,2024-04-05,500,Deposit
10,James White,Male,30,Checking,7500,2024-04-02,-400,Withdrawal
10,James White,Male,30,Checking,7100,2024-04-06,700,Deposit
11,Laura Miller,Female,42,Savings,8500,2024-04-01,-300,Withdrawal
11,Laura Miller,Female,42,Savings,8200,2024-04-05,700,Deposit
12,Matthew Anderson,Male,45,Checking,9000,2024-04-03,-800,Withdrawal
12,Matthew Anderson,Male,45,Checking,8200,2024-04-08,1500,Deposit
13,Elizabeth Brown,Female,38,Savings,7000,2024-04-02,-200,Withdrawal
13,Elizabeth Brown,Female,38,Savings,6800,2024-04-07,600,Deposit
14,Christopher Taylor,Male,32,Checking,6500,2024-04-01,-300,Withdrawal
14,Christopher Taylor,Male,32,Checking,6200,2024-04-05,500,Deposit
15,Amanda Rodriguez,Female,50,Savings,9500,2024-04-01,-400,Withdrawal
15,Amanda Rodriguez,Female,50,Savings,9100,2024-04-06,900,Deposit
16,Jonathan Garcia,Male,27,Checking,8000,2024-04-03,-600,Withdrawal
16,Jonathan Garcia,Male,27,Checking,7400,2024-04-07,1000,Deposit
17,Natalie Hernandez,Female,35,Savings,5500,2024-04-02,-100,Withdrawal
17,Natalie Hernandez,Female,35,Savings,5400,2024-04-05,200,Deposit
18,Andrew Young,Male,41,Checking,7000,2024-04-01,-200,Withdrawal
18,Andrew Young,Male,41,Checking,6800,2024-04-05,600,Deposit
19,Jessica Flores,Female,34,Savings,8500,2024-04-03,-700,Withdrawal
19,Jessica Flores,Female,34,Savings,7800,2024-04-08,1200,Deposit
20,Justin Hall,Male,29,Checking,6000,2024-04-02,-200,Withdrawal
20,Justin Hall,Male,29,Checking,5800,2024-04-06,400,Deposit
21,Samantha Lopez,Female,44,Savings,7500,2024-04-01,-300,Withdrawal
21,Samantha Lopez,Female,44,Savings,7200,2024-04-05,700,Deposit
22,Daniel King,Male,36,Checking,8500,2024-04-03,-700,Withdrawal
22,Daniel King,Male,36,Checking,7800,2024-04-08,1200,Deposit
23,Megan Wright,Female,39,Savings,8000,2024-04-02,-400,Withdrawal
23,Megan Wright,Female,39,Savings,7600,2024-04-07,800,Deposit
24,Brandon Lewis,Male,31,Checking,7000,2024-04-01,-300,Withdrawal
24,Brandon Lewis,Male,31,Checking,6700,2024-04-05,500,Deposit
25,Tiffany Hill,Female,49,Savings,9000,2024-04-01,-400,Withdrawal
25,Tiffany Hill,Female,49,Savings,8600,2024-04-06,800,Deposit
26,Jose Baker,Male,28,Checking,7500,2024-04-03,-600,Withdrawal
26,Jose Baker,Male,28,Checking,6900,2024-04-08,1100,Deposit
27,Kimberly Green,Female,37,Savings,6000,2024-04-02,-200,Withdrawal
27,Kimberly Green,Female,37,Savings,5800,2024-04-07,400,Deposit
28,Steven Perez,Male,35,Checking,8500,2024-04-01,-700,Withdrawal
28,Steven Perez,Male,35,Checking,7800,2024-04-05,1200,Deposit
29,Stephanie Scott,Female,40,Savings,8000,2024-04-03,-500,Withdrawal
29,Stephanie Scott,Female,40,Savings,7500,2024-04-08,1000,Deposit
30,Nicholas Gonzalez,Male,32,Checking,7000,2024-04-02,-400,Withdrawal
30,Nicholas Gonzalez,Male,32,Checking,6600,2024-04-07,700,Deposit
31,Rebecca Carter,Female,41,Savings,9000,2024-04-01,-300,Withdrawal
31,Rebecca Carter,Female,41,Savings,8700,2024-04-05,600,Deposit
32,Joshua Wright,Male,29,Checking,7500,2024-04-03,-600,Withdrawal
32,Joshua Wright,Male,29,Checking,6900,2024-04-08,1100,Deposit
33,Lisa Perez,Female,38,Savings,7000,2024-04-02,-200,Withdrawal
33,Lisa Perez,Female,38,Savings,6800,2024-04-07,600,Deposit
34,Kevin Adams,Male,33,Checking,8500,2024-04-01,-700,Withdrawal
34,Kevin Adams,Male,33,Checking,7800,2024-04-05,1200,Deposit
35,Christina Martinez,Female,40,Savings,8000,2024-04-03,-500,Withdrawal
35,Christina Martinez,Female,40,Savings,7500,2024-04-08,1000,Deposit
36,Brian Cooper,Male,32,Checking,7000,2024-04-02,-400,Withdrawal
36,Brian Cooper,Male,32,Checking,6600,2024-04-07,700,Deposit
37,Ashley Rodriguez,Female,41,Savings,9000,2024-04-01,-300,Withdrawal
37,Ashley Rodriguez,Female,41,Savings,8700,2024-04-05,600,Deposit
38,Daniel Turner,Male,29,Checking,7500,2024-04-03,-600,Withdrawal
38,Daniel Turner,Male,29,Checking,6900,2024-04-08,1100,Deposit
39,Jennifer Baker,Female,38,Savings,7000,2024-04-02,-200,Withdrawal
39,Jennifer Baker,Female,38,Savings,6800,2024-04-07,600,Deposit
40,Christopher Lewis,Male,33,Checking,8500,2024-04-01,-700,Withdrawal
40,Christopher Lewis,Male,33,Checking,7800,2024-04-05,1200,Deposit
41,Amanda Adams,Female,40,Savings,8000,2024-04-03,-500,Withdrawal
41,Amanda Adams,Female,40,Savings,7500,2024-04-08,1000,Deposit
42,Matthew Parker,Male,32,Checking,7000,2024-04-02,-400,Withdrawal
42,Matthew Parker,Male,32,Checking,6600,2024-04-07,700,Deposit
43,Kimberly Nelson,Female,41,Savings,9000,2024-04-01,-300,Withdrawal
43,Kimberly Nelson,Female,41,Savings,8700,2024-04-05,600,Deposit
44,Richard Mitchell,Male,29,Checking,7500,2024-04-03,-600,Withdrawal
44,Richard Mitchell,Male,29,Checking,6900,2024-04-08,1100,Deposit
45,Amy White,Female,38,Savings,7000,2024-04-02,-200,Withdrawal
45,Amy White,Female,38,Savings,6800,2024-04-07,600,Deposit
46,Michael Wright,Male,33,Checking,8500,2024-04-01,-700,Withdrawal
46,Michael Wright,Male,33,Checking,7800,2024-04-05,1200,Deposit
47,Laura Hernandez,Female,40,Savings,8000,2024-04-03,-500,Withdrawal
47,Laura Hernandez,Female,40,Savings,7500,2024-04-08,1000,Deposit
48,David Young,Male,32,Checking,7000,2024-04-02,-400,Withdrawal
48,David Young,Male,32,Checking,6600,2024-04-07,700,Deposit
49,Michelle Torres,Female,41,Savings,9000,2024-04-01,-300,Withdrawal
49,Michelle Torres,Female,41,Savings,8700,2024-04-05,600,Deposit
50,James King,Male,29,Checking,7500,2024-04-03,-600,Withdrawal
50,James King,Male,29,Checking,6900,2024-04-08,1100,Deposit
